ProjectID,AuthorizationCategory,AuthorizationType,ApplicationType,eFactsAuthID,PermitNumber,Submitted,Status
10000037,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000038,WPC Erosion & Sediment Control,Construction Stormwater NPDES Permitting (Chapter 102),,,,,Not Yet Submitted
10000038,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000038,Clean Water,Clean Water Permitting,,,,,Not Yet Submitted
10000038,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
10000038,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000039,WPC Erosion & Sediment Control,Construction Stormwater NPDES Permitting (Chapter 102),,,,,Not Yet Submitted
10000039,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000039,Clean Water,Clean Water Permitting,,,,,Not Yet Submitted
10000039,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
10000039,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000040,WPC Erosion & Sediment Control,Construction Stormwater NPDES Permitting (Chapter 102),,,,,Not Yet Submitted
10000040,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000040,Clean Water,Clean Water Permitting,,,,,Not Yet Submitted
10000040,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
10000040,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
